text,label
"Comment dirais-je ""Je suis heureux"" en allemand",translate
"Que signifie ""Guten Morgen"" en anglais",translate
"Comment traduire ""merci beaucoup"" en espagnol",translate
"Comment puis-je dire ""J'espère vous revoir"" en français",translate
"Puis-je traduire ""Je veux un café"" en italien",translate
"Quelle est la traduction de ""Excusez-moi, où est la bibliothèque "" en japonais",translate
"Comment pourrais-je dire ""J'aimerais aller au restaurant"" en mandarin",translate
"Pourriez-vous me dire comment dire ""Il fait froid aujourd'hui"" en russe",translate
"Comment pourrais-je dire ""J'aime lire"" en portugais",translate
"Comment dirais-je ""Belle journée n'est-ce pas"" en arabe",translate
"Translatez ""Je veux aller à la plage"" en grec",translate
"Que signifie ""Schmetterling"" en anglais",translate
Joint-venture se traduit comment en espagnol,translate
"Comment dire ""Au revoir"" en italien",translate
"Quelle est la traduction de ""belle vie"" en russe",translate
"Comment dit-on ""îles"" en japonais",translate
"Quelle est la traduction de ""montagnes"" en mandarin",translate
"Comment puis-je traduire ""Cascade"" en néerlandais",translate
"Pouvez-vous traduire ""Lever de soleil"" en turc",translate
"Comment peut-on traduire ""arc-en-ciel"" en polonais",translate
"Comment dire ""Je suis fatigué"" en finnois",translate
"Pourriez-vous traduire ""aller faire du shopping"" en coréen",translate
"Peut-on traduire ""Sommeil profond"" en hindi",translate
"Veuillez traduire ""Brise légère"" en arabe",translate
"Veuillez traduire ""Brouillard matinal"" en danois",translate
"Comment puis-je dire ""Je veux dormir"" en suédois",translate
"Qu'est-ce que ""I miss you"" en français",translate
"Comment dit-on ""tour Eiffel"" en chinois",translate
"Quelle est la traduction de ""Fête foraine"" en espagnol",translate
"Comment dire ""Rue piétonnière"" en italien",translate
"Qu'est-ce que ""douce nuit"" veut dire en allemand",translate
Pourriez-vous me dire comment dire «Je t'aime» en russe,translate
Pourriez-vous traduire «C'est mon anniversaire aujourd'hui» en arabe,translate
Qu'est-ce que «Bon après-midi» en japonais,translate
Pourriez-vous me dire comment dire «J'ai faim» en espagnol,translate
Pourriez-vous traduire «Où sont les toilettes» en italien,translate
"Comment dire ""J'aime la pizza"" en chinois",translate
"Comment dire ""bienvenue"" en portugais",translate
"Comment dit-on ""merci"" en suédois",translate
"Pourriez-vous traduire ""Je suis désolé"" en turc",translate
"Qu'est-ce que ""bonne nuit"" en danois",translate
"Comment dirais-je ""C'est une belle journée"" en finnois",translate
Pourriez-vous me dire comment dire «Je suis perdu» en russe,translate
"Qu'est-ce que ""s'il vous plaît"" en espagnol",translate
"Comment dit-on ""Excusez-moi"" en italien",translate
"Comment annonce-t-on ""Je suis en retard"" en allemand",translate
"Qu'est-ce que ""Je suis heureux"" en portugais",translate
"Pouvez-vous traduire ""Je suis triste"" en grec",translate
"Comment dit-on ""J'ai gagné"" en arabe",translate
Pourriez-vous me dire comment dire «Je suis prêt» en japonais,translate
"Comment dire ""Je suis pressé"" en danois",translate
"Qu'est-ce que ""d'accord"" en suédois",translate
"Pouvez-vous traduire ""Je paierai"" en turc",translate
"Comment puis-je demander ""Quelle est votre profession"" en chinois",translate
"Comment dire ""En quelle année sommes-nous"" en russe",translate
"Pourriez-vous traduire ""Combien de frères avez-vous"" en espagnol",translate
"Qu'est-ce que ""Votre couleur préférée est-elle"" en italien",translate
"Comment demander ""Est-ce que tu aimes la musique"" en allemand",translate
Pourriez-vous me dire comment demander «Avez-vous une voiture» en français,translate
"Comment demander ""Combien cela coûte"" en portugais",translate
"Pourriez-vous traduire ""Quelle taille portez-vous"" en grec",translate
"Comment poser cette question ""Quel est ton plat préféré"" en turc",translate
"Qu'est-ce que ""Quelle est ton adresse"" en finnois",translate
"Comment dirais-je ""Quel est le prochain arrêt"" en danois",translate
"Pouvez-vous traduire ""Quel temps fait-il dehors"" en suédois",translate
"Qu'est-ce que ""Pouvez-vous me montrer sur la carte"" en russe",translate
"Pourriez-vous traduire ""Je suis allergique aux cacahuètes"" en néerlandais",translate
"Comment dit-on ""Où puis-je trouver des billets de concert"" en portugais",translate
"Qu'est-ce que ""Comment puis-je vous aider"" en espagnol",translate
"Comment dire ""Je suis blessé"" en italien",translate
Pourriez-vous me dire comment dire «Avez-vous un numéro de contact» en allemand,translate
"Qu'est-ce que ""J'ai perdu mon téléphone"" en français",translate
"Comment dire ""Peux-tu m'aider"" en chinois",translate
"Qu'est-ce que ""Je cherche un restaurant"" en coréen",translate
"Pouvez-vous traduire ""Je suis ici en voyage d'affaires"" en japonais",translate
Pourriez-vous me dire comment dire «Je suis végétarien» en finnois,translate
"Qu'est-ce que ""Je suis étudiant"" en suédois",translate
"Comment dit-on ""J'ai du mal à respirer"" en danois",translate
"Pourriez-vous traduire ""Je suis célibataire"" en turc",translate
"Qu'est-ce que ""Je suis allergique aux animaux"" en russe",translate
"Comment puis-je indiquer ""Je suis diabétique"" en néerlandais",translate
"Quelle est la traduction de ""Je suis enceinte"" en portugais",translate
"Pouvez-vous traduire ""J'attends un appel"" en grec",translate
"Comment dire ""J'aime ce livre"" en arabe",translate
"Qu'est-ce que ""Je n'ai jamais vu ça"" en japonais",translate
"Pourriez-vous me dire comment dire ""Je ne sais pas"" en danois",translate
"Comment dit-on ""Je partirai à 5 heures"" en suédois",translate
"Pourriez-vous traduire ""Je peux emprunter votre stylo"" en turc",translate
"Qu'est-ce que ""Je t'appellerai"" en chinois",translate
"Comment dire ""Je vais louer un appartement"" en russe",translate
"Pourriez-vous traduire ""Je vais à une entrevue"" en espagnol",translate
"Comment dire ""Je vais à la fête"" en italien",translate
"Qu'est-ce que ""Je vais à la gym"" en allemand",translate
"Comment dire ""Je vais lui parler"" en français",translate
Pourriez-vous me dire comment dire «Je vais nous chercher du café» en portugais,translate
"Qu'est-ce que ""Je vais à une réunion"" en grec",translate
"Pouvez-vous traduire ""Je vais au lit"" en arabe",translate
"Comment dire ""Je vais regarder un film"" en japonais",translate
"Pourriez-vous traduire ""Je vais courir un marathon"" en danois",translate
"Comment dire ""J'aime ce paysage"" en turc",translate
Pourriez-vous me dire comment dire «J'aime cette chanson» en néerlandais,translate
